PING 10.0.0.2 (10.0.0.2) 56(84) bytes of data.
64 bytes from 10.0.0.2: icmp_seq=2 ttl=64 time=122 ms
64 bytes from 10.0.0.2: icmp_seq=3 ttl=64 time=99.2 ms
64 bytes from 10.0.0.2: icmp_seq=4 ttl=64 time=109 ms
64 bytes from 10.0.0.2: icmp_seq=7 ttl=64 time=147 ms
64 bytes from 10.0.0.2: icmp_seq=8 ttl=64 time=111 ms
64 bytes from 10.0.0.2: icmp_seq=9 ttl=64 time=101 ms
64 bytes from 10.0.0.2: icmp_seq=10 ttl=64 time=114 ms
64 bytes from 10.0.0.2: icmp_seq=12 ttl=64 time=122 ms
64 bytes from 10.0.0.2: icmp_seq=13 ttl=64 time=112 ms
64 bytes from 10.0.0.2: icmp_seq=14 ttl=64 time=103 ms
64 bytes from 10.0.0.2: icmp_seq=15 ttl=64 time=118 ms
64 bytes from 10.0.0.2: icmp_seq=17 ttl=64 time=112 ms
64 bytes from 10.0.0.2: icmp_seq=18 ttl=64 time=104 ms
64 bytes from 10.0.0.2: icmp_seq=19 ttl=64 time=99.3 ms
64 bytes from 10.0.0.2: icmp_seq=20 ttl=64 time=46.3 ms
64 bytes from 10.0.0.2: icmp_seq=21 ttl=64 time=92.0 ms
64 bytes from 10.0.0.2: icmp_seq=22 ttl=64 time=92.1 ms
64 bytes from 10.0.0.2: icmp_seq=23 ttl=64 time=104 ms
64 bytes from 10.0.0.2: icmp_seq=24 ttl=64 time=117 ms
64 bytes from 10.0.0.2: icmp_seq=26 ttl=64 time=126 ms
64 bytes from 10.0.0.2: icmp_seq=27 ttl=64 time=105 ms
64 bytes from 10.0.0.2: icmp_seq=28 ttl=64 time=96.4 ms
64 bytes from 10.0.0.2: icmp_seq=29 ttl=64 time=110 ms
64 bytes from 10.0.0.2: icmp_seq=32 ttl=64 time=124 ms
64 bytes from 10.0.0.2: icmp_seq=34 ttl=64 time=108 ms
64 bytes from 10.0.0.2: icmp_seq=35 ttl=64 time=116 ms
64 bytes from 10.0.0.2: icmp_seq=36 ttl=64 time=120 ms
64 bytes from 10.0.0.2: icmp_seq=39 ttl=64 time=121 ms
64 bytes from 10.0.0.2: icmp_seq=40 ttl=64 time=116 ms
64 bytes from 10.0.0.2: icmp_seq=41 ttl=64 time=117 ms
64 bytes from 10.0.0.2: icmp_seq=43 ttl=64 time=120 ms
64 bytes from 10.0.0.2: icmp_seq=44 ttl=64 time=100 ms
64 bytes from 10.0.0.2: icmp_seq=45 ttl=64 time=119 ms
64 bytes from 10.0.0.2: icmp_seq=47 ttl=64 time=119 ms
64 bytes from 10.0.0.2: icmp_seq=48 ttl=64 time=124 ms
64 bytes from 10.0.0.2: icmp_seq=49 ttl=64 time=106 ms
64 bytes from 10.0.0.2: icmp_seq=50 ttl=64 time=105 ms
64 bytes from 10.0.0.2: icmp_seq=53 ttl=64 time=105 ms
64 bytes from 10.0.0.2: icmp_seq=54 ttl=64 time=100 ms
64 bytes from 10.0.0.2: icmp_seq=55 ttl=64 time=113 ms
64 bytes from 10.0.0.2: icmp_seq=57 ttl=64 time=121 ms
64 bytes from 10.0.0.2: icmp_seq=59 ttl=64 time=105 ms
64 bytes from 10.0.0.2: icmp_seq=60 ttl=64 time=113 ms
64 bytes from 10.0.0.2: icmp_seq=61 ttl=64 time=119 ms
64 bytes from 10.0.0.2: icmp_seq=63 ttl=64 time=123 ms
64 bytes from 10.0.0.2: icmp_seq=64 ttl=64 time=106 ms
64 bytes from 10.0.0.2: icmp_seq=65 ttl=64 time=95.2 ms
64 bytes from 10.0.0.2: icmp_seq=66 ttl=64 time=102 ms
64 bytes from 10.0.0.2: icmp_seq=67 ttl=64 time=112 ms
64 bytes from 10.0.0.2: icmp_seq=70 ttl=64 time=122 ms
64 bytes from 10.0.0.2: icmp_seq=71 ttl=64 time=107 ms
64 bytes from 10.0.0.2: icmp_seq=72 ttl=64 time=100 ms
64 bytes from 10.0.0.2: icmp_seq=73 ttl=64 time=116 ms
64 bytes from 10.0.0.2: icmp_seq=75 ttl=64 time=119 ms
64 bytes from 10.0.0.2: icmp_seq=76 ttl=64 time=121 ms
64 bytes from 10.0.0.2: icmp_seq=77 ttl=64 time=113 ms
64 bytes from 10.0.0.2: icmp_seq=78 ttl=64 time=128 ms
64 bytes from 10.0.0.2: icmp_seq=80 ttl=64 time=123 ms
64 bytes from 10.0.0.2: icmp_seq=81 ttl=64 time=128 ms
64 bytes from 10.0.0.2: icmp_seq=82 ttl=64 time=123 ms
64 bytes from 10.0.0.2: icmp_seq=83 ttl=64 time=102 ms
64 bytes from 10.0.0.2: icmp_seq=84 ttl=64 time=100 ms
64 bytes from 10.0.0.2: icmp_seq=85 ttl=64 time=87.2 ms
64 bytes from 10.0.0.2: icmp_seq=86 ttl=64 time=105 ms
64 bytes from 10.0.0.2: icmp_seq=87 ttl=64 time=83.1 ms
